term,estimate,std.error,statistic,p.value,conf.low,conf.high,event_time,outcome
Em2,-0.0952223810864736,0.027146131377145357,-3.507769846227239,4.560737670206411e-4,-0.1484287985856785,-0.0420159635872687,-2,log Population
E0,0.1557136227746274,0.039743346333574174,3.9179796655191184,9.055195780105523e-5,0.07781666396082203,0.2336105815884328,0,log Population
E1,0.19369226861001085,0.06434676799165846,3.010132049446834,0.0026250968535764183,0.06757260334636025,0.31981193387366147,1,log Population
E2,0.16556493489867502,0.08619459054348341,1.9208274423573124,0.054813397931962216,-0.0033764625665524683,0.3345063323639025,2,log Population
ref,0,NA,NA,NA,0,0,-1,log Population
Em2,-0.07545660857198845,0.03394819998421879,-2.2226983641861815,0.026282910788909108,-0.14199508054105728,-0.008918136602919624,-2,log Local units
E0,0.12143465099218996,0.043757228916340575,2.775190614203674,0.0055384543464598235,0.03567048231616243,0.2071988196682175,0,log Local units
E1,0.14574968659265258,0.06991661593664233,2.084621583011531,0.03715679550079635,0.00871311935683361,0.28278625382847156,1,log Local units
E2,0.26028738885840336,0.12104663117166387,2.150306756486873,0.031581131546078216,0.02303599176194218,0.49753878595486456,2,log Local units
ref,0,NA,NA,NA,0,0,-1,log Local units
Em2,-0.20113855154138502,0.05286475308032352,-3.8047761470818187,1.437118575664778e-4,-0.3047534675788191,-0.09752363550395092,-2,log Employees
E0,0.175844387748744,0.09870959296081167,1.7814315962031708,0.07490565977476644,-0.017626414454446848,0.36931518995193485,0,log Employees
E1,0.12088309638448298,0.11679305907077976,1.0350195238162616,0.30071232825367594,-0.10803129939424534,0.3497974921632113,1,log Employees
E2,0.23166309428469958,0.13237344161703493,1.7500723064594494,0.08017021287571498,-0.02778885128468886,0.491115039854088,2,log Employees
ref,0,NA,NA,NA,0,0,-1,log Employees
